"filename", "language", "JSON", "JavaScript", "JavaScript React", "HTML", "CSS", "Markdown", "comment", "blank", "total"
"f:\graduate_design\operator_test\frontend\README.md", "Markdown", 0, 0, 0, 0, 0, 38, 0, 33, 71
"f:\graduate_design\operator_test\frontend\craco.config.js", "JavaScript", 0, 28, 0, 0, 0, 0, 1, 3, 32
"f:\graduate_design\operator_test\frontend\jsconfig.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 8
"f:\graduate_design\operator_test\frontend\package-lock.json", "JSON", 17638, 0, 0, 0, 0, 0, 0, 1, 17639
"f:\graduate_design\operator_test\frontend\package.json", "JSON", 55, 0, 0, 0, 0, 0, 0, 1, 56
"f:\graduate_design\operator_test\frontend\public\index.html", "HTML", 0, 0, 0, 17, 0, 0, 23, 3, 43
"f:\graduate_design\operator_test\frontend\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 1, 26
"f:\graduate_design\operator_test\frontend\src\App.css", "CSS", 0, 0, 0, 0, 37, 0, 13, 9, 59
"f:\graduate_design\operator_test\frontend\src\App.jsx", "JavaScript React", 0, 0, 89, 0, 0, 0, 14, 9, 112
"f:\graduate_design\operator_test\frontend\src\App.test.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 2, 9
"f:\graduate_design\operator_test\frontend\src\components\LeftMenu\index.jsx", "JavaScript React", 0, 0, 63, 0, 0, 0, 10, 7, 80
"f:\graduate_design\operator_test\frontend\src\components\bugOperation\classifier\Header\Setting\EditableTable\EditableTagGroup\index.jsx", "JavaScript React", 0, 0, 136, 0, 0, 0, 1, 17, 154
"f:\graduate_design\operator_test\frontend\src\components\bugOperation\classifier\Header\Setting\EditableTable\index.jsx", "JavaScript React", 0, 0, 235, 0, 0, 0, 1, 19, 255
"f:\graduate_design\operator_test\frontend\src\components\bugOperation\classifier\Header\Setting\index.css", "CSS", 0, 0, 0, 0, 9, 0, 0, 1, 10
"f:\graduate_design\operator_test\frontend\src\components\bugOperation\classifier\Header\Setting\index.jsx", "JavaScript React", 0, 0, 224, 0, 0, 0, 0, 18, 242
"f:\graduate_design\operator_test\frontend\src\components\bugOperation\classifier\Header\index.css", "CSS", 0, 0, 0, 0, 15, 0, 0, 1, 16
